21042024-1630, stable-diffusion-2-1_noise-1            , 16, 0-1-2-3, dense     , bindepth_dpt_k3          ,  10, 1.50,     0.0005,        0.0,   16, NYUv2     , NYUv2     , 0.7115, 0.9228, 0.9802, 0.5908, 0.9189, 0.9861, 0.9964, 0.3453 
21042024-2340, stable-diffusion-2-1_noise-1            , 16, 0-1-2-3, dense     , bindepth_dpt_k3          ,  10, 1.50,     0.0005,        0.0,   16, NYUv2     , NYUv2     , 0.7056, 0.9199, 0.9789, 0.5982, 0.9201, 0.9862, 0.9964, 0.3422 
25042024-0310, stable-diffusion-2-1_noise-1            , 16, 0-1-2-3, dense     , bindepth_dpt_k3          ,  10, 1.50,     0.0005,        0.0,   16, NYUv2     , NYUv2     , 0.1522, 0.3264, 0.5335, 2.4679, 0.5174, 0.7956, 0.9159, 1.0600 
25042024-0416, dynamicrafter_512_interp_v1_noise-1     , 16, 4    , dense     , identity_readout_k3      ,  10, 1.50,      0.001,        0.0,   16, NYUv2     , NYUv2     , 0.0000, 0.0000, 0.0000, 3.4676, 0.5075, 0.7902, 0.9138, 1.0673 
25042024-0354, dynamicrafter_512_interp_v1_noise-1     , 16, 0-4-8-11, dense     , bindepth_dpt_k3          ,  10, 1.50,     0.0005,        0.0,    1, NYUv2     , NYUv2     , 0.1451, 0.3148, 0.5176, 2.5756, 0.5079, 0.7911, 0.9150, 1.0654 
25042024-1414, stable-diffusion-2-1_noise-1            , 16, 0-1-2-3, dense     , bindepth_dpt_k3          ,  10, 1.50,     0.0005,        0.0,   16, NYUv2     , NYUv2     , 0.8092, 0.9609, 0.9897, 0.5841, 0.8910, 0.9816, 0.9956, 0.4351 
25042024-1522, stable-diffusion-2-1_noise-1            , 16, 1    , dense     , identity_readout_k3      ,  10, 1.50,      0.001,        0.0,   16, NYUv2     , NYUv2     , 0.6781, 0.9076, 0.9694, 0.7511, 0.7906, 0.9523, 0.9866, 0.5812 
25042024-1524, dynamicrafter_512_interp_v1_noise-1     , 16, 4    , dense     , identity_readout_k3      ,  10, 1.50,      0.001,        0.0,   16, NYUv2     , NYUv2     , 0.5928, 0.8671, 0.9599, 0.8687, 0.7564, 0.9435, 0.9856, 0.6311 
25042024-1503, dynamicrafter_512_interp_v1_noise-1     , 16, 0-4-8-11, dense     , bindepth_dpt_k3          ,  10, 1.50,     0.0005,        0.0,    1, NYUv2     , NYUv2     , 0.7301, 0.9400, 0.9849, 0.6820, 0.8638, 0.9770, 0.9951, 0.4933 
26042024-0114, stable-diffusion-2-1_noise-1            , 16, 0-1-2-3, dense     , bindepth_dpt_k3          ,  10, 1.50,     0.0005,        0.0,   16, NYUv2     , NYUv2     , 0.8940, 0.9817, 0.9954, 0.4362 
02052024-0723, dynamicrafter_512_interp_v1_noise-0-5-10-15-20-25-30-35-40-45-49, 16, 0-1-2-3-4-5-6-7-8-9-10-11, dense     , identity_readout_k3      ,  10, 1.50,      0.001,      0.001,   16, NYUv2     , NYUv2     , 0.8420, 0.9637, 0.9907, 0.5271, 0.9002, 0.9814, 0.9954, 0.4086 
